Sample,FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6
0,0,634,42,785,42,41,41
1,0,628,41,785,41,41,42
2,0,635,41,784,41,41,41
3,0,635,39,783,40,40,40
4,0,636,39,783,39,39,39
5,0,634,40,783,40,40,40
6,0,638,39,784,39,39,40
7,0,638,39,784,39,39,39
8,0,632,38,783,38,37,38
9,0,630,39,784,39,38,39
10,0,625,39,784,40,39,39
11,0,622,40,784,41,40,40
12,0,622,40,784,40,41,39
13,0,622,41,784,40,40,40
14,0,620,39,783,38,39,39
15,0,623,38,782,37,37,37
16,0,627,35,781,35,35,35
17,0,627,34,781,34,33,34
18,0,629,32,781,32,32,32
19,0,628,31,781,30,31,31
20,0,629,30,780,30,30,30
21,0,636,30,782,31,30,30
22,0,636,29,781,29,29,30
23,0,640,29,782,29,29,30
24,0,644,30,782,29,30,29
25,0,644,29,781,30,28,29
26,0,643,29,782,29,30,29
27,0,643,29,782,29,29,29
28,0,642,30,781,30,30,29
29,0,642,37,781,30,29,30
30,0,642,53,781,30,30,31
31,0,638,30,781,30,30,30
32,0,638,30,781,31,30,31
33,0,641,31,781,30,31,31
34,0,642,31,781,32,32,33
35,0,642,32,781,31,32,31
36,0,639,24,780,24,24,25
37,0,639,24,780,24,24,24
38,0,640,22,781,22,23,22
39,0,645,22,782,22,21,21
40,0,647,21,782,22,22,22
41,0,647,23,782,24,24,24
42,0,653,26,783,25,25,25
43,0,642,27,785,26,26,26
44,0,635,30,786,30,29,29
45,0,642,30,784,29,31,30
46,0,655,29,783,29,29,29
47,0,652,22,781,23,22,22
48,0,658,22,781,22,22,22
49,0,660,23,779,23,22,23
50,0,660,23,780,24,24,24
51,0,658,24,781,24,24,25
52,0,658,25,780,26,26,25
53,0,657,25,781,25,26,26
54,0,661,26,783,26,26,26
55,0,662,26,782,26,26,26
56,0,662,27,784,27,26,27
57,0,665,26,785,26,26,26
58,0,668,26,786,26,26,26
59,0,670,16,782,15,15,16
60,0,664,16,782,15,17,16
61,0,661,15,782,16,16,16
62,0,655,16,781,16,16,16
63,0,660,17,782,16,16,16
64,0,657,17,782,16,17,17
65,0,657,17,782,17,17,17
66,0,660,17,782,17,17,17
67,0,659,17,783,17,18,18
68,0,659,18,783,17,17,16
69,0,661,17,784,18,17,18
70,0,661,18,784,19,18,18
71,0,660,18,785,19,18,18
72,0,659,18,784,18,18,18
73,0,660,18,785,18,18,18
74,0,652,18,784,18,18,18
75,0,652,19,784,18,18,18
76,0,651,19,784,19,18,19
77,0,650,19,784,19,18,18
78,0,649,19,784,19,19,18
79,0,649,19,783,18,19,19
80,0,649,19,783,19,19,19
81,0,644,19,783,19,19,19
82,0,644,19,784,19,19,19
83,0,641,20,784,20,20,20
84,0,637,19,783,20,20,19
85,0,627,20,783,19,20,20
86,0,630,19,783,20,19,20
87,0,629,20,784,20,20,20
88,0,628,20,784,20,20,20
89,0,629,20,783,20,19,19
90,0,631,20,784,20,20,20
91,0,630,19,783,20,20,19
92,0,634,20,783,20,19,19
93,0,636,20,784,19,19,20
94,0,635,19,784,19,20,19
95,0,637,20,785,19,19,19
96,0,640,20,785,19,18,19
97,0,639,19,785,20,19,19
98,0,642,19,785,19,20,19
99,0,645,19,785,20,19,19
100,0,646,19,786,20,20,19
101,0,642,19,785,19,19,18
102,0,640,20,785,19,19,19
103,0,644,20,785,19,19,20
104,0,651,19,785,20,20,19
105,0,649,20,784,20,19,19
106,0,649,19,782,20,19,20
107,0,645,20,782,19,19,19
108,0,646,19,784,19,19,20
109,0,645,20,783,19,20,19
110,0,645,20,784,19,20,19
111,0,645,19,784,19,20,19
112,0,645,19,784,19,19,19
113,0,648,19,784,19,19,19
114,0,649,19,784,19,19,19
115,0,649,19,784,19,19,19
116,0,648,19,785,19,19,19
117,0,646,19,785,20,19,19
118,0,646,19,785,20,19,19
119,0,647,20,785,20,19,19
120,0,647,20,784,19,19,20
121,0,648,20,784,19,19,20
122,0,651,20,784,19,20,19
123,0,654,19,784,19,19,19
124,0,655,19,783,19,18,18
