Sample,FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6
0,0,730,558,746,16,43,0
1,0,733,564,749,15,40,0
2,0,735,566,754,15,41,0
3,0,735,568,754,15,40,0
4,0,731,568,752,15,42,0
5,0,732,570,751,15,43,0
6,0,734,574,753,15,44,0
7,0,735,580,754,16,47,0
8,0,736,596,755,16,49,0
9,0,736,598,759,15,51,0
10,0,736,600,759,15,51,0
11,0,737,608,759,15,53,0
12,0,737,616,760,16,54,0
13,0,736,615,759,15,54,0
14,0,735,622,758,15,57,0
15,0,736,627,759,15,56,0
16,0,739,645,760,16,76,0
17,0,740,647,763,15,75,0
18,0,742,650,765,16,74,0
19,0,742,659,767,15,77,1
20,0,744,666,769,15,80,0
21,0,745,668,768,15,83,0
22,0,745,672,769,15,84,0
23,0,746,674,770,16,86,0
24,0,746,676,770,14,87,0
25,0,746,677,772,15,87,1
26,0,747,677,772,15,87,0
27,1,746,678,771,16,92,0
28,1,748,682,772,15,96,0
29,0,748,684,772,16,96,0
30,0,748,679,771,15,76,0
31,0,748,678,771,15,73,0
32,0,746,678,770,15,73,0
33,0,747,678,771,15,73,0
34,0,746,678,771,15,73,0
35,0,748,679,771,16,71,0
36,0,746,674,770,16,72,1
37,0,745,671,768,16,72,0
38,0,744,669,768,15,73,0
39,0,744,666,767,16,71,0
40,0,745,661,766,15,68,0
41,0,743,657,765,15,68,0
42,0,741,650,765,15,77,0
43,0,741,639,762,15,79,0
44,0,740,638,762,16,76,0
45,1,741,631,762,15,74,0
46,0,737,627,762,15,65,0
47,1,737,632,762,15,60,0
48,0,737,633,763,15,63,0
49,1,739,634,763,15,61,0
50,0,741,634,763,15,63,0
51,0,742,636,763,16,67,0
52,0,741,636,764,15,68,0
53,0,742,635,765,16,68,0
54,0,742,639,765,15,66,0
55,0,742,637,765,15,75,0
56,0,742,635,765,15,72,0
57,0,742,636,765,15,71,0
58,0,743,637,765,15,72,0
59,0,742,636,763,15,73,0
60,0,743,640,764,17,74,1
61,0,743,641,763,17,72,0
62,0,743,637,762,17,76,0
63,0,742,637,762,17,75,0
64,0,743,637,761,17,75,0
65,0,743,628,761,16,76,0
66,0,743,634,761,16,75,0
67,0,743,640,761,17,74,0
68,0,743,640,761,16,73,0
69,0,743,636,761,17,70,0
70,0,743,639,760,17,71,0
71,0,742,634,760,17,70,0
72,0,741,629,760,18,68,0
73,0,740,628,759,18,65,0
74,0,739,625,758,17,70,0
75,0,738,623,757,17,70,0
76,0,737,627,756,16,70,0
77,0,736,630,756,17,71,0
78,0,735,630,757,16,69,0
79,0,735,634,757,17,69,1
80,0,735,636,759,17,68,0
81,0,736,633,760,17,68,0
82,0,739,635,760,17,68,0
83,0,743,639,762,16,71,0
84,0,742,638,764,17,71,0
85,0,742,633,764,17,70,0
86,0,741,636,763,17,75,0
87,0,743,644,764,17,75,0
88,0,743,640,765,17,75,0
89,0,744,640,765,17,75,0
90,0,744,637,767,17,74,0
91,0,745,639,766,17,70,0
92,0,745,637,765,17,72,0
93,0,744,637,765,17,69,0
94,0,744,636,765,17,67,0
95,0,744,636,764,16,69,0
96,0,743,639,763,17,67,0
97,0,744,641,761,17,71,0
98,0,743,640,762,17,69,0
99,0,740,637,761,17,67,0
100,0,739,639,761,17,66,0
101,0,739,642,761,16,67,0
102,0,738,637,760,17,69,0
103,0,739,631,758,16,75,0
104,0,738,631,757,17,77,0
105,0,737,625,756,17,80,0
106,0,737,626,757,15,82,0
107,0,737,626,755,14,83,0
108,0,737,631,756,15,83,0
109,0,737,630,754,16,83,0
110,0,738,632,751,15,84,0
111,0,738,628,750,17,85,0
112,0,737,628,751,17,85,0
