Sample,FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6
0,0,512,18,623,73,47,838
1,0,512,17,624,71,52,839
2,0,513,17,624,67,54,838
3,0,512,18,626,64,56,838
4,0,510,18,619,63,55,839
5,0,512,19,618,62,56,839
6,0,514,19,619,60,54,838
7,0,510,20,619,57,49,838
8,0,511,18,621,60,45,838
9,0,510,16,620,61,42,838
10,0,512,15,620,60,42,838
11,0,514,14,623,61,42,837
12,0,516,14,634,60,49,837
13,0,511,13,637,58,53,837
14,0,512,13,641,57,56,838
15,0,510,14,637,58,52,835
16,0,507,14,634,54,46,837
17,0,510,14,631,56,43,836
18,0,512,14,630,53,43,836
19,0,510,14,632,53,41,836
20,0,515,15,634,55,41,836
21,0,514,15,635,55,40,836
22,0,516,15,635,54,27,836
23,0,517,14,635,58,14,836
24,0,515,15,635,59,14,837
25,0,517,14,639,49,14,836
26,0,516,15,640,58,23,836
27,0,518,15,641,58,23,835
28,0,518,15,641,61,14,836
29,0,519,15,642,63,27,835
30,0,519,15,642,65,38,836
31,0,520,16,644,65,37,836
32,0,520,14,646,64,39,835
33,0,521,14,646,62,42,833
34,0,522,14,647,64,42,833
35,0,522,14,646,63,42,833
36,0,522,14,646,64,42,834
37,0,521,14,645,66,41,834
38,0,522,14,646,66,42,833
39,0,523,14,646,65,42,834
40,0,523,15,641,64,42,833
41,0,524,15,642,62,43,833
42,0,524,16,646,68,45,834
43,0,524,18,644,63,47,833
44,0,525,19,649,65,48,835
45,0,525,19,649,66,49,834
46,0,523,18,652,62,48,834
47,0,523,18,652,61,47,834
48,0,523,16,652,61,46,835
49,0,524,17,652,59,47,834
50,0,524,16,651,56,46,834
51,0,524,16,652,60,46,834
52,0,525,16,652,60,45,835
53,0,524,15,652,59,45,835
54,0,524,16,652,59,44,834
55,0,526,16,653,58,44,835
56,0,526,15,654,57,43,834
57,0,526,15,655,58,44,835
58,0,527,15,655,59,44,835
59,0,528,15,656,61,45,835
60,0,528,15,657,62,45,836
61,0,528,15,656,62,44,836
62,0,529,14,657,61,45,835
63,0,531,14,657,60,45,836
64,0,530,14,657,61,46,836
65,0,531,14,657,59,45,836
66,0,531,14,657,60,46,836
67,0,532,14,656,60,47,836
68,0,524,14,656,56,47,835
69,0,522,15,657,57,51,836
70,0,522,16,657,51,55,836
71,0,518,16,654,39,52,836
72,0,518,89,647,40,52,836
73,0,515,136,640,37,47,835
74,0,518,162,639,37,48,836
75,0,516,167,643,37,49,835
76,0,515,135,652,37,61,835
77,0,520,137,652,37,61,836
78,0,521,116,652,38,63,836
79,0,520,129,651,38,60,836
80,0,522,176,652,34,55,836
81,0,517,226,649,35,52,835
82,0,515,243,650,34,50,835
83,0,512,259,649,30,48,835
84,0,512,254,643,26,45,835
85,0,512,229,641,23,43,836
86,0,510,186,647,23,43,835
87,0,512,174,650,24,39,835
88,0,515,166,652,24,29,835
89,0,521,169,654,27,14,835
90,0,517,155,657,23,14,835
91,0,516,174,657,26,15,835
92,0,526,173,661,26,15,836
93,0,527,175,665,22,14,834
94,0,520,168,668,19,13,836
95,0,524,161,670,17,14,835
96,0,526,165,670,13,14,835
97,0,527,168,669,13,14,835
98,0,528,223,667,14,14,835
99,0,527,221,667,13,14,835
100,0,526,169,668,13,13,835
101,0,526,165,670,13,13,835
