Sample,FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6
0,0,411,0,734,218,121,703
1,0,405,0,736,221,125,701
2,0,396,0,739,221,125,694
3,0,404,0,738,220,123,672
4,0,398,0,737,219,123,665
5,0,405,0,735,213,111,660
6,0,377,0,725,197,95,630
7,0,383,0,715,196,83,617
8,0,374,0,710,198,72,638
9,0,378,0,708,200,66,648
10,0,384,0,706,201,64,650
11,0,395,0,707,200,65,652
12,0,393,0,707,200,68,652
13,0,406,0,708,200,70,652
14,0,404,0,712,201,70,650
15,0,402,0,711,201,72,651
16,0,405,0,714,196,72,649
17,0,401,0,713,196,75,643
18,0,406,0,714,195,79,639
19,0,410,0,715,195,83,638
20,0,404,0,714,196,83,638
21,0,412,0,719,196,84,635
22,0,408,0,720,196,88,629
23,0,407,0,723,196,88,619
24,0,404,0,725,197,89,610
25,0,400,0,726,197,94,603
26,0,400,0,728,197,95,596
27,0,397,0,729,197,95,597
28,0,390,0,731,197,94,597
29,0,392,0,731,196,92,598
30,0,394,0,733,197,97,601
31,0,389,0,732,197,97,599
32,0,392,0,731,196,94,598
33,0,399,0,728,198,94,603
34,0,404,0,727,201,94,607
35,0,408,0,726,201,90,610
36,0,401,0,724,202,80,615
37,0,408,0,725,203,76,616
38,0,410,0,725,203,78,617
39,0,408,0,726,204,83,618
40,0,409,0,724,204,85,617
41,0,408,0,723,204,88,617
42,0,407,0,724,203,87,611
43,0,412,0,724,202,87,606
44,0,410,0,723,203,92,604
45,0,403,0,724,203,92,604
46,0,406,0,723,203,94,602
47,0,410,0,724,203,87,605
48,0,418,0,725,203,91,611
49,0,419,0,725,203,93,615
50,0,420,0,726,203,91,617
51,0,423,0,728,204,90,615
52,0,418,0,728,204,92,617
53,0,418,0,732,204,96,618
54,0,415,0,732,204,103,621
55,0,422,0,733,205,105,620
56,0,418,0,734,205,106,621
57,0,411,0,736,205,108,621
58,0,410,0,736,205,112,621
59,0,402,0,736,205,113,623
60,0,398,0,735,205,113,623
61,0,401,0,735,207,109,623
62,0,395,0,734,208,110,626
63,0,393,0,734,209,110,631
64,0,391,0,733,207,112,634
65,0,391,0,733,207,114,636
66,0,392,0,732,208,113,636
67,0,392,0,732,206,112,639
68,0,392,0,733,208,112,638
69,0,391,0,733,208,113,637
70,0,393,0,733,207,113,636
71,0,387,0,732,207,114,634
72,0,383,0,732,208,113,632
73,0,384,0,733,208,114,631
74,0,393,0,732,209,114,635
75,0,387,0,732,208,117,634
76,0,389,0,732,206,117,636
77,0,387,0,733,208,118,636
78,0,389,0,734,207,118,634
79,0,383,0,733,207,121,634
80,0,395,0,734,207,122,631
81,0,398,0,735,204,122,631
82,0,394,0,735,204,122,630
83,0,393,0,735,204,122,630
84,0,393,0,736,204,120,630
85,0,397,0,735,204,125,630
86,0,394,0,734,204,123,627
87,0,393,0,734,204,120,629
88,0,393,0,731,204,117,633
89,0,395,0,730,204,114,634
90,0,393,0,729,204,115,635
91,0,405,0,727,204,117,635
92,0,409,0,727,203,118,635
93,0,410,0,727,205,118,634
94,0,410,0,727,204,118,631
95,0,410,0,727,203,117,629
96,0,414,0,727,202,117,627
97,0,418,0,726,203,117,625
98,0,420,0,725,202,116,624
99,0,420,0,723,202,116,626
100,0,421,0,723,202,115,625
101,0,423,0,725,200,114,626
102,0,425,0,727,200,116,628
103,0,418,1,729,200,122,625
104,0,419,0,730,199,124,624
105,0,419,0,731,199,126,628
106,0,420,0,731,199,126,629
107,0,426,0,734,200,126,628
108,0,420,0,735,200,126,627
109,0,423,0,735,200,124,621
110,0,421,0,735,202,128,621
111,0,427,0,735,202,125,619
112,0,407,0,731,202,122,613
113,0,405,0,730,202,121,618
114,0,409,0,728,204,118,621
115,0,412,0,727,205,118,624
116,0,413,0,726,206,120,628
117,0,414,0,726,206,119,629
118,0,414,0,725,207,119,629
119,0,410,0,725,208,120,630
120,0,398,0,725,206,121,626
121,0,391,0,725,207,121,625
122,0,402,0,725,207,120,625
123,0,407,0,724,208,118,631
124,0,407,0,722,207,119,629
125,0,413,0,723,206,117,626
126,0,414,0,723,207,116,627
127,0,416,0,724,207,117,626
128,0,417,0,725,205,117,625
129,0,423,0,726,205,118,622
130,0,423,0,726,205,119,622
131,0,425,0,729,202,119,622
132,0,420,0,731,203,118,621
133,0,420,0,733,203,120,619
134,0,423,0,733,202,120,621
135,0,427,0,735,202,121,616
136,0,412,0,734,203,122,618
137,0,416,0,735,204,125,613
138,0,407,0,734,204,124,615
139,0,406,0,731,203,127,617
140,0,403,0,729,206,123,620
141,0,403,0,729,207,126,620
142,0,380,0,725,207,125,620
143,0,385,0,725,208,124,621
144,0,383,0,725,208,124,621
145,0,394,0,726,209,126,620
146,0,397,0,725,209,127,619
147,0,406,0,726,209,128,618
148,0,402,0,725,207,125,618
149,0,404,0,725,208,123,618
150,0,406,0,726,206,122,618
151,0,407,0,725,208,118,620
152,0,404,0,725,209,121,621
153,0,404,0,725,208,120,621
154,0,404,0,725,209,121,622
155,0,409,0,726,207,122,621
156,0,406,0,724,208,123,622
157,0,408,0,725,208,120,622
158,0,412,0,725,207,120,621
159,0,412,0,725,208,120,622
160,0,422,0,725,207,125,611
161,0,405,0,721,204,126,600
162,0,403,0,722,204,126,600
163,0,408,0,722,203,112,601
164,0,417,0,723,206,115,605
165,0,424,0,722,207,123,607
166,0,426,0,723,205,122,610
167,0,431,0,725,205,121,611
168,0,422,0,725,203,116,612
169,0,414,0,725,204,108,611
170,0,430,0,726,203,108,609
171,0,439,0,725,203,108,606
172,0,439,0,726,203,109,605
173,0,436,0,729,203,115,606
174,0,431,0,730,203,115,606
175,0,445,0,729,201,120,605
176,0,442,0,726,203,122,611
177,0,443,0,725,202,121,614
178,0,446,0,723,203,116,617
