Sample,FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6
0,0,493,0,324,22,137,0
1,0,497,0,317,22,136,0
2,0,489,0,320,21,133,0
3,0,495,0,309,21,136,0
4,0,498,0,298,22,142,0
5,0,497,0,284,22,138,0
6,0,496,0,303,22,138,0
7,0,495,0,269,22,135,0
8,0,494,0,235,22,133,0
9,0,472,0,217,22,108,0
10,0,454,0,224,21,110,0
11,0,453,0,210,22,109,0
12,0,523,0,262,23,126,0
13,0,535,0,336,23,148,0
14,0,474,0,296,23,141,0
15,0,491,0,345,23,133,0
16,0,484,0,361,22,134,0
17,0,481,0,361,23,135,0
18,0,494,0,364,22,138,0
19,0,498,0,346,23,144,0
20,0,500,0,337,23,141,0
21,0,505,0,344,22,131,0
22,0,501,0,344,22,120,0
23,0,498,0,370,23,115,0
24,0,493,0,509,22,113,0
25,0,496,0,573,23,104,0
26,0,504,0,592,22,91,0
27,0,508,0,598,18,76,0
28,0,504,0,594,22,62,0
29,0,515,0,591,23,59,0
30,0,524,0,598,21,63,0
31,0,523,0,605,23,72,0
32,0,499,0,602,23,75,0
33,0,500,0,603,23,87,0
34,0,501,0,601,23,92,0
35,0,503,0,602,23,93,0
36,0,505,0,585,23,92,0
37,0,506,0,585,23,100,0
38,0,509,0,563,23,108,0
39,0,509,0,571,24,110,0
40,0,502,0,570,23,112,0
41,0,504,0,510,23,110,0
42,0,512,0,495,22,106,0
43,0,512,0,487,23,95,0
44,0,512,0,505,23,96,0
45,0,509,0,492,23,94,0
46,0,503,0,470,23,93,0
47,0,508,0,474,23,96,0
48,0,509,0,455,23,92,0
49,0,509,0,468,23,99,0
50,0,508,0,471,23,102,0
51,0,505,0,474,23,106,0
52,0,501,0,480,23,106,0
53,0,496,0,490,23,103,0
54,0,489,0,525,23,105,0
55,0,466,0,538,22,109,0
56,0,488,0,524,22,112,0
57,0,492,0,495,23,115,0
58,0,503,0,511,23,109,0
59,0,507,0,518,22,105,0
60,0,511,0,515,22,104,0
61,0,512,0,513,23,106,0
62,0,513,0,514,23,103,0
63,0,513,0,508,23,109,0
64,0,514,0,509,23,108,0
65,0,513,0,507,22,108,0
66,0,514,0,509,23,102,0
67,0,512,0,544,23,70,0
68,0,537,0,594,17,65,0
69,0,546,0,606,17,65,0
70,0,541,0,614,16,68,0
71,0,540,0,612,17,65,0
72,0,546,0,610,16,63,0
73,0,543,0,610,16,64,0
74,0,546,0,610,16,64,0
75,0,550,0,610,15,55,0
76,0,549,0,611,16,55,0
77,0,548,0,611,14,55,0
78,0,547,0,611,15,55,0
79,0,550,0,612,14,59,0
80,0,549,0,612,15,64,0
81,0,550,0,611,15,66,0
82,0,549,0,609,16,70,0
83,0,547,0,604,16,70,0
84,0,543,0,603,16,71,0
85,0,543,0,603,16,70,0
86,0,543,0,595,17,70,0
87,0,543,0,598,15,71,0
88,0,543,0,603,16,70,0
89,0,541,0,600,17,71,0
90,0,540,0,579,16,72,0
91,0,538,0,592,16,71,0
92,0,540,0,588,17,79,0
93,0,541,0,566,17,78,0
94,0,540,0,576,18,72,0
95,0,537,0,579,17,87,0
96,0,536,0,572,20,97,0
97,0,534,0,572,17,98,0
98,0,532,0,583,18,101,0
99,0,523,0,579,20,102,0
100,0,532,0,577,20,99,0
101,0,527,0,579,20,99,0
102,0,527,0,583,20,101,0
103,0,530,0,576,17,90,0
104,0,526,0,578,17,91,0
105,0,517,0,584,20,99,0
106,0,522,0,585,18,100,0
107,0,518,0,586,17,99,0
108,0,515,0,588,17,103,0
109,0,523,0,585,17,107,0
110,0,522,0,586,17,105,0
111,0,523,0,593,17,104,0
112,0,531,0,595,17,107,0
113,0,538,0,591,17,105,0
114,0,541,0,595,17,109,0
115,0,544,0,596,17,112,0
116,0,552,0,598,17,112,0
117,0,552,0,600,17,112,0
118,0,555,0,602,17,113,0
119,0,555,0,602,17,116,0
120,0,555,0,604,18,115,0
121,0,551,0,602,17,118,0
122,0,553,0,602,17,117,0
123,0,548,0,600,18,118,0
124,0,554,0,604,18,118,0
125,0,553,0,600,18,118,0
126,0,554,0,601,18,118,0
127,0,557,0,603,19,116,0
128,0,557,0,603,18,116,0
129,0,556,0,601,17,115,0
130,0,556,0,603,17,116,0
131,0,556,0,601,17,116,0
132,0,552,0,598,17,119,0
133,0,552,0,595,18,118,0
134,0,549,0,598,17,118,0
135,0,546,0,599,17,121,0
136,0,542,0,600,17,120,0
137,0,542,0,600,17,121,0
138,0,544,0,602,17,123,0
139,0,536,0,597,17,125,0
140,0,534,0,597,18,125,0
141,0,536,0,597,17,125,0
142,0,538,0,602,16,126,0
143,0,539,0,602,17,126,0
144,0,539,0,605,18,127,0
145,0,536,0,598,18,126,0
146,0,535,0,598,21,127,0
147,0,532,0,593,22,125,0
148,0,534,0,600,22,125,0
149,0,539,0,600,22,124,0
150,0,537,0,598,23,124,0
151,0,538,0,602,21,130,0
152,0,538,0,599,22,130,0
153,0,540,0,597,22,124,0
154,0,538,0,599,23,120,0
155,0,539,0,598,21,122,0
156,0,539,0,598,21,121,0
157,0,540,0,598,21,124,0
158,0,539,0,599,21,126,0
159,0,540,0,599,21,124,0
160,0,540,0,599,21,123,0
161,0,541,0,600,21,123,0
162,0,540,0,600,21,121,0
163,0,541,0,600,19,120,0
164,0,540,0,600,19,121,0
165,0,540,0,600,20,119,0
166,0,540,0,600,20,118,0
167,0,540,0,601,19,117,0
168,0,540,0,601,19,118,0
169,0,541,0,601,21,118,0
170,0,541,0,601,22,118,0
171,0,540,0,604,22,120,0
172,0,539,0,605,22,121,0
173,0,538,0,607,21,121,0
174,0,541,0,609,22,122,0
175,0,541,0,609,22,121,0
176,0,540,0,607,22,119,0
177,0,542,0,608,22,119,0
178,0,542,0,607,22,119,0
179,0,543,0,605,21,120,0
180,0,544,0,606,22,118,0
181,0,544,0,605,23,116,0
182,0,544,0,607,22,117,0
183,0,544,0,606,22,119,0
184,0,543,0,605,22,119,0
185,0,541,0,604,22,121,0
186,0,534,0,601,22,121,0
187,0,535,0,605,21,121,0
188,0,535,0,604,23,120,0
189,0,535,0,604,22,121,0
190,0,534,0,605,22,121,0
191,0,533,0,605,22,119,0
192,0,533,0,604,22,119,0
193,0,530,0,601,22,117,0
194,0,532,0,604,22,118,0
195,0,532,0,598,22,118,0
196,0,530,0,597,21,118,0
197,0,532,0,598,21,119,0
198,0,530,0,599,21,120,0
199,0,530,0,600,22,118,0
200,0,529,0,600,22,118,0
201,0,530,0,607,21,116,0
202,0,533,0,606,22,116,0
203,0,533,0,604,23,116,0
204,0,534,0,604,23,118,0
205,0,534,0,603,22,117,0
206,0,533,0,604,22,115,0
207,0,533,0,603,22,116,0
208,0,533,0,602,22,115,0
209,0,532,0,602,21,114,0
210,0,531,0,601,21,114,0
211,0,530,0,602,22,114,0
212,0,530,0,600,22,115,0
213,0,529,0,600,21,115,0
214,0,530,0,601,22,115,0
215,0,529,0,601,22,113,0
216,0,530,0,600,22,118,0
217,0,529,0,600,22,116,0
218,0,528,0,600,22,115,0
219,0,527,0,601,22,115,0
220,0,527,0,600,22,113,0
221,0,528,0,601,22,116,0
222,0,528,0,601,21,115,0
223,0,528,0,600,22,117,0
224,0,528,0,598,21,116,0
225,0,527,0,592,22,116,0
226,0,527,0,590,22,113,0
227,0,526,0,592,21,112,0
228,0,524,0,594,21,109,0
229,0,525,0,592,21,110,0
230,0,523,0,592,22,110,0
231,0,522,0,594,21,110,0
232,0,524,0,596,22,110,0
233,0,524,0,596,22,112,0
234,0,526,0,598,21,112,0
235,0,525,0,599,21,112,0
236,0,526,0,600,21,112,0
237,0,524,0,601,22,112,0
238,0,523,0,601,23,111,0
239,0,523,0,602,22,111,0
240,0,524,0,601,23,110,0
241,0,527,0,599,23,111,0
242,0,526,0,595,22,111,0
243,0,525,0,596,23,110,0
244,0,524,0,595,22,113,0
245,0,523,0,595,22,114,0
246,0,523,0,595,22,114,0
247,0,522,0,596,22,114,0
248,0,522,0,595,23,115,0
249,0,522,0,595,21,115,0
250,0,522,0,595,22,115,0
251,0,522,0,595,22,114,0
252,0,522,0,596,22,114,0
253,0,522,0,596,21,115,0
254,0,521,0,596,22,116,0
255,0,522,0,596,22,116,0
256,0,522,0,597,21,115,0
257,0,521,0,597,22,117,0
258,0,519,0,597,23,117,0
259,0,519,0,597,22,117,0
260,0,521,0,598,23,117,0
261,0,521,0,597,21,116,0
262,0,522,0,599,22,118,0
263,0,523,0,599,21,118,0
264,0,522,0,600,22,119,0
265,0,523,0,597,22,119,0
266,0,523,0,598,22,119,0
267,0,524,0,598,22,119,0
268,0,525,0,599,22,119,0
269,0,525,0,600,22,118,0
270,0,526,0,601,22,119,0
271,0,529,0,601,22,118,0
272,0,528,0,601,22,119,0
273,0,528,0,602,23,119,0
274,0,527,0,602,22,119,0
275,0,524,0,602,22,120,0
276,0,522,0,603,22,120,0
277,0,524,0,603,22,119,0
278,0,524,0,602,22,120,0
279,0,524,0,602,22,122,0
280,0,525,0,602,22,122,0
281,0,525,0,602,23,123,0
282,0,525,0,602,22,121,0
283,0,523,0,602,21,122,0
284,0,517,0,602,22,122,0
285,0,517,0,602,21,121,0
286,0,517,0,601,22,122,0
287,0,519,0,601,23,121,0
288,0,523,0,601,22,122,0
289,0,524,0,601,22,120,0
290,0,522,0,600,22,122,0
291,0,519,0,601,21,123,0
292,0,517,0,600,22,121,0
293,0,517,0,600,23,122,0
294,0,517,0,600,22,120,0
