Sample,FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6
0,0,0,0,609,0,43,370
1,0,0,0,619,0,34,387
2,0,0,0,607,0,30,392
3,0,0,0,601,0,31,383
4,0,0,0,604,0,32,392
5,0,0,0,612,0,31,401
6,0,0,0,607,0,27,403
7,0,0,0,600,0,31,402
8,0,0,0,599,0,31,399
9,0,0,0,599,0,34,392
10,0,0,0,596,0,42,393
11,0,0,0,597,0,40,393
12,0,0,0,592,0,36,394
13,0,0,0,587,0,33,390
14,0,0,0,588,0,33,377
15,0,0,0,588,0,32,376
16,0,0,0,570,0,45,380
17,0,0,0,569,0,43,383
18,0,0,0,589,0,34,380
19,0,0,0,596,0,34,374
20,0,0,0,608,0,33,351
21,0,0,0,617,0,34,340
22,0,0,0,620,0,31,347
23,0,0,0,620,0,28,363
24,0,0,0,618,0,28,365
25,0,0,0,615,0,23,366
26,0,0,0,615,0,21,369
27,0,0,0,618,0,20,374
28,0,0,0,620,0,21,377
29,0,0,0,622,0,21,376
30,0,0,0,622,0,21,376
31,0,0,0,622,0,29,376
32,0,0,0,622,0,29,374
33,0,0,0,621,0,33,372
34,0,0,0,619,0,33,369
35,0,0,0,621,0,34,367
36,0,0,0,620,0,33,368
37,0,0,0,621,0,31,360
38,0,0,0,615,0,21,363
39,0,0,0,607,0,21,365
40,0,0,0,602,0,26,365
41,0,0,0,600,0,31,367
42,0,0,0,602,0,44,370
43,0,0,0,603,0,46,370
44,0,0,0,606,0,37,370
45,0,0,0,608,0,32,370
46,0,0,0,609,0,40,370
47,0,0,0,610,0,38,371
48,0,0,0,614,0,42,372
49,0,0,0,616,0,40,372
50,0,0,0,616,0,41,373
51,0,0,0,617,0,41,373
52,0,0,0,617,0,42,368
53,0,0,0,617,0,34,369
54,0,0,0,620,0,36,369
55,0,0,0,620,0,38,371
56,0,0,0,620,0,39,373
57,0,0,0,620,0,39,374
58,0,0,0,620,0,40,375
59,0,0,0,621,0,40,375
60,0,0,0,621,0,40,376
61,0,0,0,621,0,40,373
62,0,0,0,620,0,39,374
63,0,0,0,619,0,41,371
64,0,0,0,619,0,40,369
65,0,0,0,618,0,41,368
66,0,0,0,619,0,40,370
67,0,0,0,621,0,39,364
68,0,0,0,622,0,39,362
69,0,0,0,620,0,39,363
70,0,0,0,620,0,39,366
71,0,0,0,620,0,40,370
72,0,0,0,620,0,39,371
73,0,0,0,620,0,41,372
74,0,0,0,621,0,41,373
75,0,0,0,622,0,49,380
76,0,0,0,623,0,39,373
77,0,0,0,625,0,49,372
78,0,0,0,625,0,48,372
79,0,0,0,623,0,51,381
80,0,0,0,623,0,52,383
81,0,0,0,622,0,59,381
82,0,0,0,622,0,60,381
83,0,0,0,622,0,60,381
84,0,0,0,622,0,60,383
85,0,0,0,622,0,61,384
86,0,0,0,623,0,61,383
87,0,0,0,623,0,60,383
88,0,0,0,625,0,62,382
89,0,0,0,623,0,61,383
90,0,0,0,622,0,62,385
91,0,0,0,618,0,62,388
92,0,0,0,615,0,64,392
93,0,0,0,611,0,62,391
94,0,0,0,607,0,62,392
95,0,0,0,603,0,63,394
96,0,0,0,600,0,64,396
97,0,0,0,601,0,64,398
98,0,0,0,601,0,62,399
99,0,0,0,600,0,63,400
100,0,0,0,599,0,63,401
101,0,0,0,600,0,63,403
102,0,0,0,600,0,63,405
103,0,0,0,600,0,63,406
104,0,0,0,599,0,64,408
105,0,0,0,600,0,65,409
106,0,0,0,601,0,65,409
107,0,0,0,605,0,64,412
108,0,0,0,605,0,64,404
109,0,0,0,604,0,64,405
110,0,0,0,603,0,65,404
111,0,0,0,602,0,66,405
112,0,0,0,600,0,66,410
113,0,0,0,602,0,74,410
114,0,0,0,601,0,74,412
115,0,0,0,601,0,74,413
116,0,0,0,601,0,74,412
117,0,0,0,603,0,75,411
118,0,0,0,606,0,73,411
119,0,0,0,607,0,74,409
120,0,0,0,608,0,73,411
121,0,0,0,610,0,73,411
122,0,0,0,611,0,74,412
123,0,0,0,611,0,74,413
124,0,0,0,612,0,74,416
125,0,0,0,612,0,74,414
126,0,0,0,612,0,74,415
127,0,0,0,614,0,74,415
128,0,0,0,615,0,73,415
129,0,0,0,616,0,74,416
130,0,0,0,615,0,71,416
131,0,0,0,614,0,67,416
132,0,0,0,615,0,66,417
133,0,0,0,615,0,74,417
134,0,0,0,615,0,73,423
135,0,0,0,614,0,72,422
136,0,0,0,615,0,73,422
137,0,0,0,614,0,74,421
138,0,0,0,614,0,74,426
139,0,0,0,614,0,75,428
140,0,0,0,615,0,74,430
141,0,0,0,615,0,72,430
142,0,0,0,614,0,66,429
143,0,0,0,613,0,66,430
144,0,0,0,613,0,66,431
145,0,0,0,614,0,66,431
146,0,0,0,614,0,74,430
147,0,0,0,613,0,71,430
148,0,0,0,614,0,66,427
149,0,0,0,612,0,65,427
150,0,0,0,614,0,74,428
151,0,0,0,613,0,74,428
152,0,0,0,611,0,73,429
153,0,0,0,612,0,73,428
154,0,0,0,613,0,73,428
155,0,0,0,612,0,73,428
156,0,0,0,613,0,75,427
157,0,0,0,614,0,75,429
158,0,0,0,614,0,75,429
159,0,0,0,614,0,74,428
160,0,0,0,615,0,75,427
161,0,0,0,615,0,74,425
162,0,0,0,614,0,74,423
163,0,0,0,615,0,74,424
164,0,0,0,616,0,73,423
165,0,0,0,615,0,66,423
166,0,0,0,615,0,66,423
167,0,0,0,614,0,66,424
168,0,0,0,614,0,66,424
169,0,0,0,613,0,66,425
170,0,0,0,613,0,66,425
171,0,0,0,612,0,66,427
172,0,0,0,612,0,74,427
173,0,0,0,612,0,72,428
174,0,0,0,613,0,74,428
175,0,0,0,612,0,74,428
176,0,0,0,611,0,74,427
177,0,0,0,612,0,74,428
178,0,0,0,613,0,74,427
179,0,0,0,613,0,75,426
180,0,0,0,614,0,74,428
181,0,0,0,613,0,74,429
182,0,0,0,615,0,74,430
183,0,0,0,616,0,74,429
184,0,0,0,615,0,75,430
185,0,0,0,617,0,71,430
186,0,0,0,617,0,75,432
187,0,0,0,615,0,75,432
188,0,0,0,616,0,77,434
189,0,0,0,616,0,77,434
190,0,0,0,615,0,76,434
191,0,0,0,615,0,75,434
192,0,0,0,616,0,76,435
193,0,0,0,617,0,77,435
194,0,0,0,617,0,77,435
195,0,0,0,618,0,77,435
196,0,0,0,618,0,82,435
197,0,0,0,618,0,82,436
198,0,0,0,618,0,83,436
199,0,0,0,618,0,82,435
200,0,0,0,618,0,82,435
201,0,0,0,620,0,77,437
