FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,Posture
0,1,200,16,106,571,lean left
2,3,203,18,106,571,lean left
0,1,206,16,104,571,lean left
2,3,209,17,105,572,lean left
2,2,208,16,102,572,lean left
2,3,209,17,104,572,lean left
1,2,208,17,102,571,lean left
2,3,209,18,103,571,lean left
2,1,202,17,102,567,lean left
2,16,200,17,103,566,lean left
1,39,201,16,102,565,lean left
2,88,200,17,103,564,lean left
2,100,197,17,103,564,lean left
3,114,201,17,103,564,lean left
2,126,200,17,104,563,lean left
3,149,200,18,104,564,lean left
1,143,198,17,103,561,lean left
3,170,201,18,104,561,lean left
2,172,199,17,104,561,lean left
3,177,199,17,103,562,lean left
2,178,200,17,102,562,lean left
3,182,201,17,104,563,lean left
1,187,199,16,103,563,lean left
3,191,200,17,104,564,lean left
2,191,197,17,103,561,lean left
3,197,199,18,104,562,lean left
1,208,197,16,103,563,lean left
2,208,198,18,104,563,lean left
2,206,197,17,104,563,lean left
3,207,199,18,104,564,lean left
1,205,197,16,103,564,lean left
3,203,198,18,105,564,lean left
2,188,198,17,103,561,lean left
3,188,203,17,105,563,lean left
1,147,202,16,103,564,lean left
3,96,202,17,105,565,lean left
2,13,203,16,103,566,lean left
2,3,208,18,105,568,lean left
2,1,213,17,103,570,lean left
7,12,231,28,113,577,lean left
2,2,218,17,103,573,lean left
2,3,226,18,102,574,lean left
1,1,228,17,101,574,lean left
3,3,235,28,110,577,lean left
12,12,235,28,112,573,lean left
14,2,229,17,102,574,lean left
3,3,229,18,104,573,lean left
2,2,219,16,103,572,lean left
2,3,218,18,103,569,lean left
1,1,218,17,102,568,lean left
2,3,211,17,103,567,lean left
2,2,204,17,102,565,lean left
3,45,204,17,103,564,lean left
2,69,203,17,101,563,lean left
3,77,203,17,102,562,lean left
1,86,200,17,100,562,lean left
2,94,203,18,101,561,lean left
2,143,199,16,101,560,lean left
3,154,203,18,102,561,lean left
1,159,199,17,102,561,lean left
2,167,201,18,102,562,lean left
3,179,199,18,103,562,lean left
4,185,202,20,104,563,lean left
3,189,200,18,102,561,lean left
4,203,202,20,104,562,lean left
3,207,202,18,102,562,lean left
5,211,199,20,103,563,lean left
3,210,202,19,102,562,lean left
5,211,204,19,103,563,lean left
3,212,203,19,102,562,lean left
5,209,201,20,102,560,lean left
3,209,204,19,100,559,lean left
4,189,207,19,101,559,lean left
2,148,207,17,100,559,lean left
3,104,209,19,101,560,lean left
2,19,208,17,100,561,lean left
3,3,209,18,101,563,lean left
2,3,210,17,100,566,lean left
3,3,212,18,102,566,lean left
3,3,220,18,102,567,lean left
3,4,222,19,103,568,lean left
3,3,219,17,102,568,lean left
3,4,219,19,102,569,lean left
2,3,218,17,101,568,lean left
3,4,214,19,102,567,lean left
2,3,211,17,100,562,lean left
16,47,222,30,112,566,lean left
2,47,211,18,100,558,lean left
3,74,210,18,101,559,lean left
2,84,207,17,99,558,lean left
3,129,206,19,101,558,lean left
2,145,204,17,100,557,lean left
3,153,202,19,101,558,lean left
2,174,202,18,99,557,lean left
3,197,204,18,101,557,lean left
3,187,198,17,100,557,lean left
4,197,200,19,101,559,lean left
3,201,201,18,100,558,lean left
3,204,198,19,100,558,lean left
3,210,194,18,100,558,lean left
4,209,194,19,102,558,lean left
3,225,196,18,101,558,lean left
5,230,197,19,102,559,lean left
4,216,192,18,101,559,lean left
4,214,193,20,102,559,lean left
3,204,187,18,101,558,lean left
5,203,187,20,102,559,lean left
