Sample,FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6
0,4,4,567,182,19,103,494
1,2,2,574,181,18,105,493
2,3,3,551,182,18,105,492
3,2,2,566,181,18,102,491
4,25,25,590,203,46,121,502
5,1,2,506,176,17,103,490
6,3,3,481,181,18,105,492
7,23,29,478,194,38,126,504
8,2,2,274,175,17,108,501
9,1,1,219,170,16,108,504
10,2,2,222,171,17,111,510
11,0,0,273,175,16,109,509
12,3,3,445,186,18,105,509
13,1,1,273,189,17,102,506
14,1,2,204,178,17,109,506
15,1,1,195,176,16,101,506
16,2,2,208,185,17,100,506
17,1,1,212,191,15,99,504
18,2,2,215,191,17,100,503
19,1,1,200,183,16,99,504
20,2,2,200,177,16,100,504
21,1,1,213,184,16,100,503
22,2,2,220,187,17,100,504
23,1,2,222,175,16,99,503
24,2,1,216,178,16,101,503
25,1,2,216,180,16,101,504
26,2,2,223,180,17,102,504
27,1,2,225,180,16,102,506
28,2,2,210,177,17,102,506
29,1,2,224,187,16,101,506
30,2,2,224,185,17,102,509
31,1,2,219,187,16,101,510
32,2,1,215,186,17,102,511
33,1,1,212,184,16,101,510
34,2,2,211,184,17,101,510
35,1,1,208,182,16,101,511
36,1,2,198,181,17,101,510
37,1,1,221,185,16,98,509
38,1,2,206,193,16,103,510
39,1,2,187,189,16,101,510
40,2,2,153,195,17,103,513
41,1,1,122,191,16,102,516
42,2,2,106,193,17,100,523
43,1,1,38,193,16,96,529
44,1,1,16,193,16,93,531
45,0,1,14,196,16,97,535
46,1,1,20,197,17,101,538
47,1,1,16,198,16,102,538
48,1,1,30,196,17,103,537
49,1,1,36,189,16,103,537
50,2,2,71,189,17,103,537
51,1,1,96,187,16,102,535
52,2,2,123,188,17,102,535
53,1,1,147,187,16,102,535
54,2,2,177,186,17,103,535
55,1,1,195,183,16,103,535
56,3,2,199,184,17,102,536
57,1,1,204,184,16,101,536
58,2,2,211,184,17,105,540
59,1,2,190,179,16,98,538
60,10,10,201,188,25,107,539
61,1,2,190,180,18,104,540
62,0,2,207,179,16,103,542
63,2,2,218,183,17,104,543
64,2,2,214,186,17,104,544
65,2,2,218,186,17,105,545
66,1,1,207,179,16,107,546
67,2,2,211,186,17,106,546
68,2,2,214,185,17,107,545
69,2,2,172,187,17,107,546
70,1,1,148,188,16,104,549
71,1,2,117,189,16,105,551
72,1,1,93,193,16,102,553
73,2,1,52,196,17,104,555
74,1,1,13,195,16,102,555
75,1,1,14,200,17,102,557
76,1,1,11,200,16,100,558
77,2,2,7,200,17,102,559
78,1,1,11,200,16,104,558
79,2,2,13,199,17,104,559
80,1,1,14,194,16,103,559
81,1,2,19,186,17,104,559
82,1,1,117,190,16,106,559
83,2,2,143,187,17,110,559
84,1,2,144,187,16,111,559
85,2,2,182,188,17,111,560
86,1,1,195,188,16,110,559
87,2,2,194,183,18,111,559
88,1,2,197,174,16,109,559
89,2,2,193,172,18,107,559
90,2,1,202,176,17,106,559
91,2,3,189,171,17,107,560
92,2,2,179,171,17,107,560
93,2,2,175,171,16,105,560
94,1,1,171,171,17,104,560
95,2,2,175,170,18,104,560
96,2,2,172,169,17,104,560
97,2,3,189,170,17,104,559
98,2,2,197,168,16,104,559
99,2,2,180,169,18,106,560
100,1,1,157,169,16,105,560
101,2,2,142,169,17,104,560
102,1,1,74,168,16,104,560
103,2,2,20,175,17,106,560
104,1,1,3,174,16,104,561
105,1,1,2,177,17,106,562
106,0,1,2,189,16,104,562
107,1,1,2,190,16,109,562
108,0,1,1,188,16,108,563
109,1,1,2,187,16,109,563
110,1,1,1,184,16,110,562
111,1,1,3,184,17,111,562
112,1,1,3,175,16,109,561
113,1,2,12,176,17,109,561
114,0,1,23,164,16,108,561
115,2,2,38,168,17,109,561
116,1,1,112,165,17,108,560
117,2,2,127,165,18,106,561
118,2,2,141,163,16,105,560
119,2,2,141,163,17,109,560
120,2,2,144,162,17,105,560
121,2,2,153,165,18,105,560
122,2,2,151,163,16,104,560
123,2,2,174,163,18,105,561
124,2,1,170,162,17,103,561
125,2,3,168,163,17,103,561
126,1,0,161,162,17,103,561
127,3,3,174,162,18,105,562
128,1,1,180,163,17,103,561
129,2,2,194,164,18,104,561
130,1,1,187,163,17,104,561
131,2,2,171,164,17,104,561
132,1,1,123,165,17,104,561
133,2,2,73,174,17,105,562
134,1,1,7,181,16,104,562
135,1,2,5,183,17,106,564
136,1,1,1,183,16,104,566
137,1,1,2,187,17,106,567
138,1,1,2,187,16,106,569
139,2,2,2,187,17,107,571
140,1,1,2,186,16,107,570
141,2,2,2,187,17,106,570
142,1,1,1,181,16,104,567
143,1,1,5,180,17,106,567
144,1,1,6,173,16,105,562
145,2,2,118,180,17,106,563
146,1,2,158,166,17,105,562
147,2,2,169,164,18,106,562
148,26,25,195,187,46,127,571
149,2,3,181,164,17,106,562
150,2,2,182,164,16,104,562
151,2,3,188,164,17,106,565
152,0,1,199,163,26,113,564
153,12,12,218,172,28,105,561
154,11,4,202,166,18,106,562
155,2,2,199,165,17,106,562
156,3,2,198,165,17,107,562
157,1,1,196,164,17,105,562
158,3,2,195,164,17,107,562
159,1,2,186,164,17,106,560
160,2,3,195,167,17,107,560
161,1,1,165,164,16,106,560
162,1,2,128,167,17,107,564
163,0,0,69,166,16,107,565
164,2,2,8,177,17,107,569
165,1,1,1,183,16,104,570
166,2,2,3,186,16,105,573
167,1,1,2,186,16,106,573
168,2,2,2,192,17,106,575
169,1,0,1,190,16,105,575
170,1,2,2,189,16,105,575
171,1,1,1,189,16,104,575
172,2,2,3,197,17,105,575
173,24,24,27,214,39,124,582
174,2,2,2,183,17,106,571
175,1,1,9,191,16,105,570
176,2,2,25,189,16,105,569
177,1,2,55,181,16,105,569
178,1,2,76,180,17,106,570
179,1,2,89,178,17,105,569
180,2,2,126,181,18,106,569
181,1,2,132,179,17,106,568
182,2,2,142,179,17,106,565
183,1,1,162,181,17,106,564
184,2,3,165,180,18,107,565
185,2,1,189,177,17,105,565
186,2,2,200,179,17,107,566
187,1,1,203,179,17,106,567
188,2,2,196,180,18,106,567
189,1,1,202,178,16,105,567
190,3,2,206,180,17,106,563
191,2,1,211,183,17,106,562
192,2,2,191,185,18,106,562
193,1,2,143,186,17,106,563
194,1,2,96,190,18,107,566
195,1,1,52,198,16,106,568
196,1,2,3,200,17,107,569
197,1,0,1,200,16,106,571
198,2,2,3,203,18,106,571
199,1,0,1,206,16,104,571
200,2,2,3,209,17,105,572
201,1,2,2,208,16,102,572
202,1,2,3,209,17,104,572
203,1,1,2,208,17,102,571
204,2,2,3,209,18,103,571
205,1,2,1,202,17,102,567
206,2,2,16,200,17,103,566
207,1,1,39,201,16,102,565
208,2,2,88,200,17,103,564
209,1,2,100,197,17,103,564
210,2,3,114,201,17,103,564
211,2,2,126,200,17,104,563
212,3,3,149,200,18,104,564
213,1,1,143,198,17,103,561
214,3,3,170,201,18,104,561
215,2,2,172,199,17,104,561
216,3,3,177,199,17,103,562
217,2,2,178,200,17,102,562
218,3,3,182,201,17,104,563
