Sample,FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6
0,0,0,0,190,11,0,518
1,0,0,0,205,11,0,518
2,0,0,0,231,12,0,519
3,0,0,0,219,10,0,520
4,0,0,0,176,11,0,518
5,0,0,0,83,11,0,499
6,0,0,0,65,12,0,491
7,0,0,0,81,12,0,511
8,0,0,0,114,12,0,513
9,0,0,0,116,11,0,515
10,0,0,0,111,11,0,516
11,0,0,0,106,12,0,514
12,0,0,0,107,11,0,514
13,0,0,0,112,11,0,514
14,0,0,0,117,11,0,515
15,0,0,0,119,11,0,516
16,0,0,0,117,10,0,516
17,0,0,0,115,11,0,516
18,0,0,0,111,12,0,516
19,0,0,0,113,12,0,515
20,0,0,0,115,11,0,516
21,0,0,0,117,11,0,516
22,0,0,0,114,11,0,517
23,0,0,0,113,11,0,517
24,0,0,0,110,12,0,516
25,0,0,0,105,12,0,516
26,0,0,0,86,11,0,515
27,0,0,0,85,11,0,516
28,0,0,0,86,11,0,517
29,0,0,0,86,12,0,517
30,0,0,0,94,11,0,517
31,0,0,0,87,11,0,518
32,0,0,0,80,10,0,519
33,0,0,0,79,11,0,517
34,0,0,0,89,11,0,516
35,0,0,0,101,12,0,518
36,0,0,0,105,12,0,519
37,0,0,0,106,11,0,520
38,0,0,0,94,12,0,517
39,0,0,0,93,12,0,502
40,0,0,0,109,12,0,496
41,0,0,0,77,12,0,493
42,0,0,0,22,11,0,493
43,0,0,0,65,11,0,495
44,0,0,0,109,12,0,496
45,0,0,0,161,12,0,510
46,0,0,0,163,12,0,505
47,0,0,0,164,12,0,503
48,0,0,0,179,11,0,512
49,0,0,0,250,10,0,514
50,0,0,0,379,12,0,510
51,0,0,0,372,0,0,497
52,0,0,0,256,0,0,496
53,0,0,0,236,11,0,499
54,0,0,0,253,11,0,501
55,0,0,0,264,11,0,501
56,0,0,0,326,11,0,496
57,0,0,0,374,11,0,490
58,0,0,0,398,12,0,514
59,0,0,0,425,12,0,519
60,0,0,0,477,12,0,520
61,0,0,0,534,13,0,524
62,0,0,0,516,12,0,528
63,0,0,0,472,13,0,529
64,0,0,0,433,13,0,533
65,0,0,0,414,13,0,534
66,0,0,0,387,12,0,534
67,0,0,0,362,12,0,531
68,0,0,0,371,12,0,533
69,0,0,0,369,12,0,534
70,0,0,0,321,12,0,534
71,0,0,0,218,11,0,533
72,0,0,0,209,12,0,529
73,0,0,0,160,12,0,533
74,0,0,0,118,12,0,534
75,0,0,0,157,11,0,534
76,0,0,0,180,12,0,534
77,0,0,0,179,11,0,536
78,0,0,0,166,12,0,534
79,0,0,0,178,10,0,533
80,0,0,0,183,10,0,530
81,0,0,0,184,11,0,530
82,0,0,0,185,11,0,528
83,0,0,0,186,11,0,526
84,0,0,0,185,12,0,528
85,0,0,0,178,11,0,529
86,0,0,0,145,12,0,528
87,0,0,0,164,12,0,528
88,0,0,0,178,12,0,528
89,0,0,0,167,11,0,528
90,0,0,0,157,11,0,528
91,0,0,0,174,12,0,528
92,0,0,0,170,12,0,529
93,0,0,0,163,11,0,530
94,0,0,0,170,11,0,530
95,0,0,0,179,12,0,530
96,0,0,0,168,11,0,531
97,0,0,0,165,11,0,533
98,0,0,0,173,12,0,532
99,0,0,0,161,12,0,533
100,0,0,0,142,12,0,533
101,0,0,0,96,12,0,533
102,0,0,0,97,11,0,533
103,0,0,0,106,12,0,535
104,0,0,0,106,11,0,534
105,0,0,0,98,11,0,534
106,0,0,0,90,11,0,534
107,0,0,0,82,12,0,533
