Sample,FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6
0,0,0,412,632,0,0,770
1,0,0,448,633,0,0,770
2,0,0,481,632,0,0,771
3,0,0,500,632,0,0,771
4,0,0,518,632,0,0,771
5,0,0,542,633,0,0,772
6,0,0,558,633,0,0,771
7,0,0,566,635,0,0,772
8,0,0,574,636,0,0,772
9,0,0,577,637,0,0,773
10,0,0,580,638,0,0,772
11,0,0,579,636,0,0,772
12,0,0,581,636,0,0,773
13,0,0,582,634,0,0,773
14,0,0,587,634,0,0,773
15,0,0,589,633,0,0,773
16,0,0,584,633,0,0,773
17,0,0,583,633,0,0,774
18,0,0,587,632,0,0,773
19,0,0,588,631,0,0,773
20,0,0,593,632,0,0,774
21,0,0,587,631,0,0,774
22,0,0,580,631,0,0,774
23,0,0,581,632,0,0,775
24,0,0,580,628,0,0,775
25,0,0,579,626,0,0,775
26,0,0,578,626,0,0,776
27,0,0,589,626,0,0,776
28,0,0,586,628,0,0,776
29,0,0,582,629,0,0,776
30,0,0,583,637,0,0,777
31,0,0,581,641,0,0,773
32,0,0,585,642,0,0,767
33,0,0,583,641,0,0,769
34,0,0,574,638,0,0,769
35,0,0,571,637,0,0,771
36,0,0,568,636,0,0,771
37,0,0,561,632,0,0,771
38,0,0,565,632,0,0,772
39,0,0,565,629,0,0,772
40,0,0,560,625,0,0,772
41,0,0,559,623,0,0,772
42,0,0,553,624,0,0,773
43,0,0,549,625,0,0,773
44,0,0,548,623,0,0,773
45,0,0,550,623,0,0,773
46,0,0,542,623,0,0,773
47,0,0,542,622,0,0,773
48,0,0,539,604,0,0,773
49,0,0,541,604,0,0,773
50,0,0,541,603,0,0,774
51,0,0,539,603,0,0,774
52,0,0,540,603,0,0,774
53,0,0,533,602,0,0,774
54,0,0,528,602,0,0,774
55,0,0,535,601,0,0,775
56,0,0,535,602,0,0,775
57,0,0,540,602,0,0,775
58,0,0,538,605,0,0,775
59,0,0,539,619,0,0,776
60,0,0,548,625,0,0,776
61,0,0,552,627,0,0,777
62,0,0,548,627,0,0,777
63,0,0,549,628,0,0,776
64,0,0,550,628,0,0,776
65,0,0,555,628,0,0,776
66,0,0,554,632,0,0,777
67,0,0,556,635,0,0,778
68,0,0,556,635,0,0,778
69,0,0,543,633,0,0,778
70,0,0,540,631,0,0,778
71,0,0,535,624,0,0,778
72,0,0,535,608,0,0,778
73,0,0,528,607,0,0,778
74,0,0,523,606,0,0,778
75,0,0,526,605,0,0,777
76,0,0,521,602,0,0,777
77,0,0,512,598,0,0,764
78,0,0,523,600,0,0,763
79,0,0,520,603,0,0,764
80,0,0,520,605,0,0,764
81,0,0,522,606,0,0,764
82,0,0,521,606,0,0,765
83,0,0,530,606,0,0,765
84,0,0,534,606,0,0,766
85,0,0,534,606,0,0,766
86,0,0,534,607,0,0,767
87,0,0,535,607,0,0,767
88,0,0,537,605,0,0,768
89,0,0,537,605,0,0,767
90,0,0,537,603,0,0,767
91,0,0,537,603,0,0,768
92,0,0,536,601,0,0,768
93,0,0,538,597,0,0,769
94,0,0,536,594,0,0,769
95,0,0,537,596,0,0,769
96,0,0,538,595,0,0,770
97,0,0,539,591,0,0,770
98,0,0,539,586,0,0,770
99,0,0,537,585,0,0,770
100,0,0,553,600,0,0,770
101,0,0,562,602,0,0,770
102,0,0,559,600,0,0,770
103,0,0,558,601,0,0,771
104,0,0,558,602,0,0,771
105,0,0,562,603,0,0,771
106,0,0,569,605,0,0,772
107,0,0,568,605,0,0,772
108,0,0,570,607,0,0,771
109,0,0,574,610,0,0,771
110,0,0,573,628,0,0,771
111,0,0,576,630,0,0,770
112,0,0,580,618,0,0,768
113,0,0,599,611,0,0,767
114,0,0,591,609,0,0,766
115,0,0,583,609,0,0,766
116,0,0,581,608,0,0,764
117,0,0,573,608,0,0,766
118,0,0,570,607,0,0,766
119,0,0,570,607,0,0,765
120,0,0,564,608,0,0,765
121,0,0,556,608,0,0,766
122,0,0,547,606,0,0,766
123,0,0,544,604,0,0,767
124,0,0,544,604,0,0,767
125,0,0,541,604,0,0,767
126,0,0,525,604,0,0,767
127,0,0,527,607,0,0,767
128,0,0,524,608,0,0,767
129,0,0,503,623,0,0,767
130,0,0,459,628,0,0,768
131,0,0,413,639,0,0,768
132,0,0,434,643,0,0,768
133,0,0,432,642,0,0,767
134,0,0,442,644,0,0,767
135,0,0,447,646,0,0,767
136,0,0,437,649,0,0,768
137,0,0,425,653,0,0,767
138,0,0,429,651,0,0,766
139,0,0,438,649,0,0,768
140,0,0,437,640,0,0,768
141,0,0,434,636,0,0,769
142,0,0,453,636,0,0,768
143,0,0,445,629,0,0,769
144,0,0,442,608,0,0,770
145,0,0,452,608,0,0,769
146,0,0,465,636,0,0,769
147,0,0,480,640,0,0,769
148,0,0,475,643,0,0,770
149,0,0,411,640,0,0,769
150,0,0,407,639,0,0,770
151,0,0,419,634,0,0,770
152,0,0,452,633,0,0,769
153,0,0,470,633,0,0,770
154,0,0,413,626,0,0,769
155,0,0,398,630,0,0,769
156,0,0,431,630,0,0,770
157,0,0,441,631,0,0,769
158,0,0,403,631,0,0,770
159,0,0,409,631,0,0,769
160,0,0,452,631,0,0,770
161,0,0,456,623,0,0,770
162,0,0,442,626,0,0,769
163,0,0,426,626,0,0,770
164,0,0,421,615,0,0,770
165,0,0,417,611,0,0,770
166,0,0,417,607,0,0,770
167,0,0,410,604,0,0,770
168,0,0,403,600,0,0,770
169,0,0,413,602,0,0,771
170,0,0,407,602,0,0,771
171,0,0,394,600,0,0,771
172,0,0,400,598,0,0,771
173,0,0,398,595,0,0,771
174,0,0,390,590,0,0,770
175,0,0,377,592,0,0,770
176,0,0,375,600,0,0,771
177,0,0,377,606,0,0,774
178,0,0,378,609,0,0,773
179,0,0,380,610,0,0,774
180,0,0,404,625,0,0,774
181,0,0,403,632,0,0,775
182,0,0,402,635,0,0,775
183,0,0,410,635,0,0,776
184,0,0,428,637,0,0,775
185,0,0,439,638,0,0,775
186,0,0,440,635,0,0,776
187,0,0,436,631,0,0,775
188,0,0,419,631,0,0,775
189,0,0,416,628,0,0,775
190,0,0,414,630,0,0,775
191,0,0,413,631,0,0,775
192,0,0,415,631,0,0,775
193,0,0,408,609,0,0,775
194,0,0,403,609,0,0,775
195,0,0,406,609,0,0,775
196,0,0,406,609,0,0,775
197,0,0,399,609,0,0,775
198,0,0,399,606,0,0,775
199,0,0,401,604,0,0,775
200,0,0,392,605,0,0,775
201,0,0,406,608,0,0,775
202,0,0,403,609,0,0,775
203,0,0,413,610,0,0,775
204,0,0,423,625,0,0,775
205,0,0,438,630,0,0,774
206,0,0,451,633,0,0,775
207,0,0,444,633,0,0,775
208,0,0,435,634,0,0,775
209,0,0,431,632,0,0,775
210,0,0,433,624,0,0,775
211,0,0,428,612,0,0,775
212,0,0,421,610,0,0,775
213,0,0,433,609,0,0,775
214,0,0,430,607,0,0,775
215,0,0,427,608,0,0,776
216,0,0,418,608,0,0,775
217,0,0,419,608,0,0,775
218,0,0,420,606,0,0,775
219,0,0,415,602,0,0,775
220,0,0,411,600,0,0,776
221,0,0,423,606,0,0,776
222,0,0,424,607,0,0,775
223,0,0,427,608,0,0,774
224,0,0,428,610,0,0,775
225,0,0,427,610,0,0,775
226,0,0,426,610,0,0,775
227,0,0,428,629,0,0,774
228,0,0,431,638,0,0,775
229,0,0,457,640,0,0,775
230,0,0,465,643,0,0,775
231,0,0,491,647,0,0,774
232,0,0,489,647,0,0,771
233,0,0,470,643,0,0,769
234,0,0,514,642,0,0,770
235,0,0,520,638,0,0,768
236,0,0,518,635,0,0,768
237,0,0,545,628,0,0,768
238,0,0,547,619,0,0,768
239,0,0,546,610,0,0,767
240,0,0,568,607,0,0,768
241,0,0,556,604,0,0,767
242,0,0,537,603,0,0,767
243,0,0,560,603,0,0,768
244,0,0,563,604,0,0,769
245,0,0,554,605,0,0,770
246,0,0,555,604,0,0,771
247,0,0,561,599,0,0,771
248,0,0,562,594,0,0,771
249,0,0,562,594,0,0,770
250,0,0,568,585,0,0,769
251,0,0,570,586,0,0,769
252,0,0,575,591,0,0,768
253,0,0,571,594,0,0,767
254,0,0,570,600,0,0,767
255,0,0,569,602,0,0,766
256,0,0,533,597,0,0,767
257,0,0,520,591,0,0,767
258,0,0,529,591,0,0,767
259,0,0,526,588,0,0,766
260,0,0,501,585,0,0,767
261,0,0,507,585,0,0,767
262,0,0,492,573,0,0,768
263,0,0,515,572,0,0,767
264,0,0,514,572,0,0,767
265,0,0,480,570,0,0,767
266,0,0,480,570,0,0,767
267,0,0,481,571,0,0,767
268,0,0,486,570,0,0,768
269,0,0,501,571,0,0,768
270,0,0,511,574,0,0,768
271,0,0,520,576,0,0,768
272,0,0,525,584,0,0,768
273,0,0,529,590,0,0,768
274,0,0,529,594,0,0,768
275,0,0,527,600,0,0,769
276,0,0,508,608,0,0,769
277,0,0,510,612,0,0,769
278,0,0,510,618,0,0,770
279,0,0,532,628,0,0,770
280,0,0,552,637,0,0,770
281,0,0,549,639,0,0,770
282,0,0,555,642,0,0,770
283,0,0,552,641,0,0,770
284,0,0,549,640,0,0,770
285,0,0,540,638,0,0,770
286,0,0,544,634,0,0,770
287,0,0,553,619,0,0,769
288,0,0,526,612,0,0,769
289,0,0,522,611,0,0,769
290,0,0,534,611,0,0,769
291,0,0,501,609,0,0,769
292,0,0,508,607,0,0,770
293,0,0,489,604,0,0,769
294,0,0,486,605,0,0,769
295,0,0,471,604,0,0,769
296,0,0,466,604,0,0,769
297,0,0,469,600,0,0,768
298,0,0,473,601,0,0,768
299,0,0,467,602,0,0,768
300,0,0,447,601,0,0,769
301,0,0,448,601,0,0,769
302,0,0,448,601,0,0,769
303,0,0,447,600,0,0,768
304,0,0,442,601,0,0,769
305,0,0,440,601,0,0,769
306,0,0,427,570,0,0,768
307,0,0,431,571,0,0,769
308,0,0,431,571,0,0,768
309,0,0,431,571,0,0,768
310,0,0,439,571,0,0,768
311,0,0,439,570,0,0,769
312,0,0,439,572,0,0,770
313,0,0,440,576,0,0,770
314,0,0,466,577,0,0,770
315,0,0,510,580,0,0,770
316,0,0,494,579,0,0,770
317,0,0,508,580,0,0,770
318,0,0,508,581,0,0,769
319,0,0,502,584,0,0,771
320,0,0,487,584,0,0,771
321,0,0,484,588,0,0,771
322,0,0,484,587,0,0,771
323,0,0,486,587,0,0,771
324,0,0,486,594,0,0,771
325,0,0,481,597,0,0,771
326,0,0,474,602,0,0,771
327,0,0,482,606,0,0,771
328,0,0,484,607,0,0,771
329,0,0,509,610,0,0,771
330,0,0,513,611,0,0,771
331,0,0,513,611,0,0,771
332,0,0,528,612,0,0,771
333,0,0,524,612,0,0,770
334,0,0,506,609,0,0,770
335,0,0,507,606,0,0,769
336,0,0,493,606,0,0,770
337,0,0,475,607,0,0,770
338,0,0,474,607,0,0,770
339,0,0,475,608,0,0,770
340,0,0,464,606,0,0,770
341,0,0,477,606,0,0,771
342,0,0,479,607,0,0,771
343,0,0,474,606,0,0,771
344,0,0,475,607,0,0,771
345,0,0,485,609,0,0,771
346,0,0,498,611,0,0,771
