FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,Posture
39,0,107,14,9,160,correct
32,1,109,15,11,161,correct
0,0,106,13,11,160,correct
0,0,108,15,12,162,correct
0,0,102,14,12,161,correct
1,1,98,15,14,162,correct
0,0,86,13,11,164,correct
1,0,5,14,10,169,correct
0,54,0,13,22,166,correct
2,56,1,15,26,168,correct
3,66,0,14,20,169,correct
1,88,0,15,18,170,correct
0,111,0,14,17,167,correct
2,134,1,15,18,183,correct
0,151,0,14,19,193,correct
2,189,1,15,19,193,correct
1,193,0,14,16,199,correct
1,187,12,26,36,200,correct
5,180,0,14,22,197,correct
31,180,1,16,25,226,correct
19,179,0,15,20,220,correct
19,173,1,16,24,230,correct
14,159,0,14,19,236,correct
17,156,2,16,26,233,correct
17,157,1,15,25,233,correct
16,156,2,16,23,236,correct
6,157,0,14,22,233,correct
6,153,1,16,24,235,correct
5,143,0,15,25,240,correct
8,138,1,16,28,240,correct
6,139,0,15,29,232,correct
9,125,1,15,29,235,correct
7,123,0,14,27,233,correct
8,121,1,16,27,235,correct
7,114,0,15,27,259,correct
9,113,14,27,37,282,correct
19,118,14,27,29,281,correct
30,93,1,14,28,281,correct
18,90,1,16,29,281,correct
16,62,0,14,28,281,correct
18,72,0,15,28,275,correct
22,85,0,15,25,270,correct
21,29,32,15,27,269,correct
21,14,55,14,24,270,correct
39,1,68,15,15,243,correct
55,0,83,14,6,224,correct
66,1,98,15,6,218,correct
63,0,115,15,17,233,correct
57,2,119,16,17,235,correct
60,0,122,15,16,226,correct
72,1,124,16,14,222,correct
76,0,126,15,15,226,correct
78,1,124,15,15,230,correct
80,1,124,14,15,235,correct
74,2,125,15,16,242,correct
63,0,124,14,21,243,correct
64,2,127,15,23,238,correct
44,0,123,14,24,238,correct
34,1,124,16,24,247,correct
50,0,121,15,16,240,correct
57,1,121,15,21,242,correct
59,0,116,15,23,242,correct
75,2,111,16,24,248,correct
84,0,111,15,22,241,correct
78,1,112,16,25,239,correct
67,0,111,15,24,238,correct
68,1,111,16,28,239,correct
67,0,112,14,28,238,correct
68,2,114,16,27,239,correct
68,0,113,15,24,238,correct
76,1,113,16,26,239,correct
82,0,111,15,25,237,correct
77,2,107,16,19,236,correct
94,1,108,15,17,233,correct
97,1,109,15,19,232,correct
97,0,110,14,24,231,correct
99,2,111,16,25,232,correct
99,1,109,14,25,231,correct
101,1,110,15,25,236,correct
99,1,105,14,24,232,correct
110,14,119,28,37,243,correct
98,0,105,15,24,236,correct
97,1,101,16,27,239,correct
94,0,103,14,25,241,correct
91,2,104,16,27,241,correct
95,1,106,14,25,241,correct
94,1,107,16,27,242,correct
93,1,104,15,25,244,correct
98,2,107,16,27,245,correct
97,1,105,15,26,245,correct
100,1,106,16,26,245,correct
102,1,101,14,26,245,correct
103,1,100,16,27,250,correct
102,1,100,15,25,249,correct
103,2,101,16,28,249,correct
