Sample,FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6
0,5,71,5,416,19,263,544
1,3,56,4,420,18,261,544
2,4,72,6,421,19,264,546
3,4,40,4,419,18,265,553
4,5,51,5,415,18,268,553
5,4,72,4,411,18,271,548
6,5,71,5,400,19,276,544
7,4,73,4,379,18,280,546
8,4,86,5,360,20,286,541
9,4,79,3,335,17,294,538
10,4,73,5,296,19,295,537
11,3,91,4,287,18,301,537
12,4,91,5,267,19,298,537
13,3,83,4,256,17,311,542
14,4,59,4,247,18,318,556
15,33,93,42,256,46,332,578
16,4,59,4,231,18,317,592
17,3,59,3,235,16,319,605
18,4,58,5,235,4,331,615
19,4,80,4,238,3,327,625
20,5,93,5,227,5,330,633
21,3,86,4,219,4,332,636
22,5,82,5,234,6,333,629
23,4,84,4,242,17,325,617
24,5,85,5,260,19,312,652
25,3,92,4,260,17,282,681
26,5,95,6,373,20,246,701
27,4,3,4,280,17,198,719
28,4,5,5,383,18,99,717
29,4,159,4,368,29,143,755
30,4,4,5,399,22,34,646
31,3,159,4,438,18,72,542
32,3,32,3,405,18,118,494
33,3,11,3,433,17,150,504
34,3,7,4,423,17,146,507
35,3,2,3,431,17,147,502
36,3,3,4,434,18,145,506
37,3,3,3,427,17,156,508
38,3,4,4,421,18,164,507
39,3,3,2,405,17,173,504
40,3,4,5,384,18,186,498
41,3,2,3,371,18,189,495
42,3,4,4,351,21,187,497
43,2,3,3,331,19,189,498
44,3,3,4,334,20,203,499
45,3,3,3,323,19,208,501
46,3,3,4,330,19,211,504
47,3,62,4,332,18,215,503
48,4,85,5,328,19,215,511
49,3,103,4,341,18,216,512
50,4,101,5,348,18,220,513
51,3,75,2,348,19,221,513
52,4,17,4,350,21,230,515
53,3,29,4,350,19,240,516
54,4,61,5,352,20,245,519
55,3,65,3,350,19,248,518
56,4,67,5,353,18,246,520
57,4,103,4,357,17,251,513
58,5,109,5,357,21,248,512
59,4,85,4,358,19,247,518
60,5,112,5,358,21,249,519
61,3,135,4,352,32,259,518
62,4,140,17,363,31,258,517
63,18,141,19,350,20,250,517
64,4,125,3,348,19,250,515
65,5,129,6,346,20,250,517
66,3,127,4,320,18,250,518
67,5,130,5,320,20,250,518
68,3,127,3,318,18,250,518
69,4,126,5,316,19,250,519
70,4,126,4,336,18,248,518
71,5,128,5,348,19,249,519
72,4,131,4,351,18,249,519
73,5,130,5,348,18,251,520
74,3,128,4,358,18,251,520
75,5,127,4,367,20,252,520
76,3,128,4,363,18,250,519
77,4,131,5,370,19,250,520
78,33,160,34,403,55,272,533
79,5,129,6,384,19,253,520
80,3,127,4,385,18,251,520
81,5,130,6,386,19,251,521
82,4,131,3,385,18,250,520
83,5,127,5,386,20,252,520
84,3,130,4,384,19,250,520
85,5,130,6,386,20,250,520
86,3,123,4,386,18,249,520
87,5,99,4,386,20,251,521
88,4,99,3,384,19,250,521
89,5,103,5,384,20,248,522
90,4,103,4,384,19,248,522
91,4,95,5,384,19,247,522
92,3,85,4,382,17,245,522
93,5,102,4,382,20,247,523
94,4,84,4,371,18,244,522
95,4,55,5,350,18,251,523
96,3,27,3,319,17,250,522
97,4,21,5,328,20,252,521
98,3,18,2,335,18,249,513
99,4,22,5,339,20,251,516
100,3,28,4,328,19,250,515
101,4,30,5,341,19,250,518
102,3,32,3,339,18,251,520
103,4,30,5,340,19,249,521
104,2,58,4,336,19,248,522
105,4,67,5,343,20,251,523
106,2,59,4,341,19,250,522
107,4,64,5,346,19,252,524
108,3,61,4,344,18,251,524
109,5,69,4,360,20,252,525
110,4,63,3,340,18,250,524
111,5,60,4,354,20,251,525
112,3,58,2,356,18,251,525
113,3,58,4,362,20,252,525
114,3,53,3,360,18,250,525
115,4,52,5,379,20,253,525
116,3,54,3,374,19,247,524
117,4,49,5,381,20,246,525
118,4,48,3,382,20,251,525
119,5,45,5,386,21,251,525
120,3,50,4,381,19,250,525
121,5,53,5,383,20,252,525
122,3,53,3,378,19,253,525
123,4,54,4,383,20,253,526
124,3,63,3,376,19,249,524
125,5,68,4,386,21,249,525
126,3,66,3,388,20,248,525
127,4,69,4,349,21,250,525
128,3,90,4,377,20,251,525
129,4,84,4,351,21,253,526
130,3,87,4,353,20,252,525
131,4,89,5,373,20,249,526
132,3,69,4,342,18,247,525
133,4,73,5,341,20,246,526
134,3,51,3,325,18,245,526
135,4,45,4,331,19,246,528
136,3,40,3,337,18,245,527
137,4,46,5,343,20,245,527
