FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,Posture
783,8,586,7,355,7,slouch
783,6,583,6,357,5,slouch
783,7,574,7,361,7,slouch
784,5,574,6,362,5,slouch
782,8,576,7,363,7,slouch
782,5,579,6,361,5,slouch
781,7,581,6,361,6,slouch
781,6,582,5,359,6,slouch
781,7,584,6,361,7,slouch
789,38,596,37,378,37,slouch
783,7,588,7,355,6,slouch
783,6,588,5,357,6,slouch
783,6,585,6,360,6,slouch
785,5,580,6,362,5,slouch
785,6,578,7,365,6,slouch
786,6,579,6,365,6,slouch
787,7,580,7,366,6,slouch
788,6,582,6,365,5,slouch
789,7,585,7,366,7,slouch
789,6,586,6,365,6,slouch
789,7,588,6,365,6,slouch
786,5,588,6,365,5,slouch
787,7,582,7,367,7,slouch
787,6,575,5,367,6,slouch
786,7,576,7,368,6,slouch
785,5,582,6,367,5,slouch
784,8,586,7,367,7,slouch
783,6,588,5,365,5,slouch
782,7,589,7,365,7,slouch
782,5,588,5,363,5,slouch
784,7,590,7,364,7,slouch
784,6,590,5,359,5,slouch
786,7,591,6,363,6,slouch
786,6,588,5,365,5,slouch
787,7,585,7,367,6,slouch
786,6,584,6,367,6,slouch
784,6,584,6,365,5,slouch
784,5,586,5,364,5,slouch
783,6,587,6,365,6,slouch
784,5,588,5,362,4,slouch
785,6,589,6,361,6,slouch
786,5,590,4,359,4,slouch
786,6,590,6,362,6,slouch
786,5,587,5,364,5,slouch
787,6,582,6,366,6,slouch
785,6,580,5,366,5,slouch
785,6,586,6,365,6,slouch
784,5,587,6,364,5,slouch
784,6,588,6,364,6,slouch
784,5,588,5,363,5,slouch
785,6,589,6,363,6,slouch
788,5,589,5,362,5,slouch
788,6,588,6,365,6,slouch
790,5,589,6,366,5,slouch
791,6,588,7,370,6,slouch
790,5,584,6,371,5,slouch
788,6,589,7,371,6,slouch
786,5,589,5,369,5,slouch
785,7,591,6,369,6,slouch
785,5,591,5,367,5,slouch
786,6,590,6,367,6,slouch
785,5,592,5,366,5,slouch
785,6,593,6,365,6,slouch
