FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,Posture
337,740,105,1,2,2,slouch
351,736,61,2,2,1,slouch
446,735,56,2,2,2,slouch
463,726,70,2,2,2,slouch
414,711,77,2,2,1,slouch
412,713,67,1,1,2,slouch
414,728,63,2,2,2,slouch
408,729,53,1,1,1,slouch
384,734,9,2,2,1,slouch
386,740,1,2,2,1,slouch
386,746,1,2,2,1,slouch
365,750,1,2,1,1,slouch
339,753,1,1,1,1,slouch
353,753,1,1,1,1,slouch
367,753,2,1,1,1,slouch
369,751,1,1,2,2,slouch
395,750,1,1,1,1,slouch
395,749,1,2,1,2,slouch
395,751,2,2,1,2,slouch
392,749,1,1,1,1,slouch
387,751,2,1,1,1,slouch
382,748,1,1,1,1,slouch
386,748,2,1,1,1,slouch
377,748,1,1,1,1,slouch
425,751,1,1,1,1,slouch
427,749,1,1,1,1,slouch
426,748,2,1,1,1,slouch
435,745,1,1,1,1,slouch
438,743,2,1,1,1,slouch
407,744,1,1,1,1,slouch
402,745,1,1,1,1,slouch
411,747,2,1,1,2,slouch
408,749,1,1,1,0,slouch
388,748,1,1,1,2,slouch
403,751,1,0,1,1,slouch
403,749,1,1,1,2,slouch
403,748,2,1,1,1,slouch
396,752,2,1,1,2,slouch
386,754,1,1,1,2,slouch
384,757,1,1,2,1,slouch
343,771,2,1,2,1,slouch
351,793,1,1,2,1,slouch
340,810,1,1,2,2,slouch
351,810,2,1,2,2,slouch
319,809,1,1,2,2,slouch
353,805,58,2,2,2,slouch
455,790,131,1,2,2,slouch
480,754,190,2,2,2,slouch
508,699,263,1,1,2,slouch
0,671,264,2,2,2,slouch
0,692,213,2,2,1,slouch
0,708,167,2,2,2,slouch
0,718,166,2,1,2,slouch
0,721,174,1,2,2,slouch
0,724,121,2,2,2,slouch
0,723,118,1,1,1,slouch
526,727,93,2,2,2,slouch
516,736,71,2,1,2,slouch
0,743,50,1,2,1,slouch
0,746,43,1,1,2,slouch
0,741,41,1,2,1,slouch
541,749,72,2,1,1,slouch
569,745,118,2,2,1,slouch
0,766,133,2,2,2,slouch
0,783,151,2,2,2,slouch
609,767,149,2,2,2,slouch
592,739,123,3,3,2,slouch
601,727,134,2,2,2,slouch
604,719,124,2,1,2,slouch
606,713,122,2,2,2,slouch
606,712,123,1,2,2,slouch
600,715,118,2,1,2,slouch
597,717,115,2,2,1,slouch
597,723,119,2,2,2,slouch
602,729,123,2,2,1,slouch
602,723,138,2,3,2,slouch
617,705,135,2,2,2,slouch
630,650,148,2,2,1,slouch
634,626,144,2,1,2,slouch
643,653,119,2,1,1,slouch
639,669,129,3,1,1,slouch
637,674,118,2,2,1,slouch
637,679,135,3,1,1,slouch
637,680,126,1,1,1,slouch
648,662,124,2,2,2,slouch
649,666,58,2,3,1,slouch
658,693,112,3,2,3,slouch
672,736,100,4,4,4,slouch
0,737,79,6,5,6,slouch
0,782,1,1,2,1,slouch
664,761,0,0,0,0,slouch
653,751,0,0,0,0,slouch
623,761,0,0,0,0,slouch
614,765,0,0,0,0,slouch
602,774,0,0,0,0,slouch
630,782,0,0,0,0,slouch
650,775,0,0,0,0,slouch
644,773,0,0,0,0,slouch
