FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,Posture
0,1,1,39,106,277,lean right
0,0,0,38,103,276,lean right
1,0,1,37,101,277,lean right
0,0,0,35,101,277,lean right
1,1,1,37,102,278,lean right
0,0,0,35,96,277,lean right
1,0,1,36,88,277,lean right
0,0,0,35,89,278,lean right
1,1,1,35,88,279,lean right
0,0,0,35,86,279,lean right
1,1,0,36,86,279,lean right
0,0,0,36,82,278,lean right
0,1,1,36,87,280,lean right
0,0,0,35,81,279,lean right
1,1,1,36,82,280,lean right
0,0,0,35,81,279,lean right
0,0,1,36,81,280,lean right
0,0,0,36,81,280,lean right
1,1,1,36,83,281,lean right
0,0,0,35,85,280,lean right
0,1,1,35,80,281,lean right
0,0,0,34,81,280,lean right
0,1,1,36,84,281,lean right
0,0,0,37,84,280,lean right
0,1,1,39,85,282,lean right
32,34,34,71,118,299,lean right
0,1,1,41,90,282,lean right
0,0,0,39,90,282,lean right
0,1,1,42,92,282,lean right
0,0,0,42,91,282,lean right
1,1,1,43,92,282,lean right
0,0,0,42,92,282,lean right
1,1,2,43,91,282,lean right
0,0,0,41,87,281,lean right
1,1,1,41,88,283,lean right
0,0,0,38,88,282,lean right
1,1,1,39,87,282,lean right
0,0,0,35,88,282,lean right
1,1,1,36,88,283,lean right
0,0,0,35,87,282,lean right
1,2,1,36,87,282,lean right
13,1,0,35,86,282,lean right
1,2,1,35,87,283,lean right
0,0,0,35,84,282,lean right
1,1,1,35,85,283,lean right
0,0,0,35,85,282,lean right
1,1,1,35,85,283,lean right
0,0,0,35,85,282,lean right
2,2,1,36,87,283,lean right
0,0,0,35,88,282,lean right
0,1,2,35,88,282,lean right
0,0,0,46,96,290,lean right
13,13,12,47,97,283,lean right
12,15,2,36,88,283,lean right
0,0,0,38,87,282,lean right
1,0,0,39,89,283,lean right
0,1,0,37,90,282,lean right
0,1,2,40,93,283,lean right
0,0,0,39,94,282,lean right
1,1,1,40,98,283,lean right
0,0,0,40,97,282,lean right
1,1,1,40,92,282,lean right
0,0,0,40,92,282,lean right
1,1,1,40,92,283,lean right
0,0,0,39,90,283,lean right
1,1,2,39,90,283,lean right
0,0,0,37,91,282,lean right
1,1,1,38,92,283,lean right
0,0,1,36,90,283,lean right
1,1,2,35,92,283,lean right
0,0,0,33,91,283,lean right
0,2,1,34,92,284,lean right
0,0,0,33,91,283,lean right
1,2,1,33,91,283,lean right
0,0,0,32,91,282,lean right
1,2,1,33,92,283,lean right
0,0,0,33,87,283,lean right
1,2,1,34,89,283,lean right
0,0,0,33,87,282,lean right
2,1,1,34,88,284,lean right
1,1,0,33,88,283,lean right
2,2,2,35,88,284,lean right
0,1,1,33,87,283,lean right
1,2,2,35,88,284,lean right
0,1,1,34,86,283,lean right
1,1,2,37,88,284,lean right
1,1,0,37,87,283,lean right
1,1,2,38,89,284,lean right
1,0,1,38,88,284,lean right
2,2,2,39,89,284,lean right
1,0,0,40,88,284,lean right
2,2,1,41,92,285,lean right
0,0,0,40,92,283,lean right
1,1,1,42,92,284,lean right
0,1,1,40,88,284,lean right
1,2,2,42,90,285,lean right
0,1,0,40,87,284,lean right
1,2,1,40,89,285,lean right
0,0,1,39,88,284,lean right
1,1,2,39,89,285,lean right
0,1,1,37,91,284,lean right
2,2,2,39,94,285,lean right
1,1,1,33,92,284,lean right
2,1,1,34,93,285,lean right
0,1,0,34,93,284,lean right
1,1,2,35,94,285,lean right
1,0,0,34,93,283,lean right
1,2,2,34,93,284,lean right
0,1,1,33,91,284,lean right
2,1,1,37,92,285,lean right
1,1,0,34,89,283,lean right
2,2,2,35,91,285,lean right
1,1,1,34,87,284,lean right
