Sample,FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6
0,0,0,0,0,136,294,462
1,0,0,0,0,135,305,482
2,0,0,0,0,129,299,522
3,0,0,0,0,121,300,539
4,0,0,0,0,115,305,544
5,0,0,0,0,117,304,543
6,0,0,0,0,122,309,543
7,0,0,0,0,124,307,543
8,0,0,0,0,126,314,547
9,0,0,0,0,129,321,545
10,0,0,0,0,126,322,544
11,0,0,0,0,125,322,548
12,0,0,0,0,127,323,541
13,0,0,0,0,128,324,544
14,0,0,0,0,127,324,495
15,0,0,0,0,126,325,517
16,0,0,0,0,124,327,481
17,0,0,0,0,124,328,475
18,0,0,0,0,123,332,475
19,0,0,0,0,126,330,502
20,0,0,0,0,126,324,482
21,0,0,0,0,125,315,499
22,0,0,0,0,126,314,471
23,0,0,0,0,127,320,532
24,0,0,0,0,124,320,557
25,0,0,0,0,124,317,564
26,0,0,0,0,124,312,563
27,0,0,0,0,127,295,585
28,0,0,0,0,140,278,625
29,0,0,0,0,142,251,629
30,0,0,0,0,150,250,639
31,0,0,0,0,149,256,680
32,0,0,0,0,152,113,682
33,0,0,0,0,144,0,702
34,0,0,0,0,113,0,671
35,0,0,0,0,87,0,662
36,0,0,0,0,115,0,737
37,0,0,0,0,82,0,649
38,0,0,0,0,101,0,653
39,0,0,0,0,174,165,777
40,0,0,0,0,151,251,719
41,0,0,0,0,173,282,721
42,0,0,0,0,170,295,725
43,0,0,0,0,169,298,735
44,0,0,0,0,162,267,705
45,0,0,0,0,156,245,678
46,0,0,0,0,153,215,685
47,0,0,0,0,146,217,726
48,0,0,0,0,145,227,746
49,0,0,0,0,151,227,756
50,0,0,0,0,146,212,733
51,0,0,0,0,154,245,758
52,0,0,0,0,158,286,764
53,0,0,0,0,157,286,752
54,0,0,0,0,156,281,740
55,0,0,0,0,155,274,735
56,0,0,0,0,156,275,738
57,0,0,0,0,156,277,744
58,0,0,0,0,156,277,745
59,0,0,0,0,156,275,741
60,0,0,0,0,156,275,733
61,0,0,0,0,155,279,729
62,0,0,0,0,156,293,734
63,0,0,0,0,157,305,741
64,0,0,0,0,157,305,739
65,0,0,0,0,156,303,722
66,0,0,0,0,156,305,727
67,0,0,0,0,157,305,725
68,0,0,0,0,156,307,728
69,0,0,0,0,157,306,727
70,0,0,0,0,148,301,717
71,0,0,0,0,155,298,721
72,0,0,0,0,154,300,721
73,0,0,0,0,155,301,724
74,0,0,0,0,153,296,719
75,0,0,0,0,154,297,713
76,0,0,0,0,154,288,717
77,0,0,0,0,154,286,723
78,0,0,0,0,153,282,725
79,0,0,0,0,152,282,729
80,0,0,0,0,152,286,734
81,0,0,0,0,152,282,730
82,0,0,0,0,153,278,738
83,0,0,0,0,153,279,737
84,0,0,0,0,153,282,733
85,0,0,0,0,153,286,732
86,0,0,0,0,153,285,727
87,0,0,0,0,153,286,727
88,0,0,0,0,148,281,723
89,0,0,0,0,149,283,720
90,0,0,0,0,146,285,724
91,0,0,0,0,147,289,726
92,0,0,0,0,147,286,723
93,0,0,0,0,150,291,729
94,0,0,0,0,148,285,725
95,0,0,0,0,146,282,730
96,0,0,0,0,147,282,726
97,0,0,0,0,147,284,728
98,0,0,0,0,147,282,728
99,0,0,0,0,146,284,727
100,0,0,0,0,146,285,717
101,0,0,0,0,146,288,718
102,0,0,0,0,146,288,720
103,0,0,0,0,146,288,719
104,0,0,0,0,146,288,715
105,0,0,0,0,145,291,723
106,0,0,0,0,147,293,728
107,0,0,0,0,146,296,730
108,0,0,0,0,150,300,727
109,0,0,0,0,146,302,732
110,0,0,0,0,146,299,738
111,0,0,0,0,146,294,727
112,0,0,0,0,145,278,692
113,0,0,0,0,149,270,695
114,0,0,0,0,151,270,697
115,0,0,0,0,154,268,699
116,0,0,0,0,157,268,700
117,0,0,0,0,158,262,698
118,0,0,0,0,158,261,702
119,0,0,0,0,155,253,699
120,0,0,0,0,156,256,701
121,0,0,0,0,155,249,699
122,0,0,0,0,157,254,701
123,0,0,0,0,156,253,705
124,0,0,0,0,155,256,710
125,0,0,0,0,155,253,701
126,0,0,0,0,156,251,702
127,0,0,0,0,155,250,699
128,0,0,0,0,156,249,701
129,0,0,0,0,156,254,701
130,0,0,0,0,156,254,703
131,0,0,0,0,157,259,704
132,0,0,0,0,156,257,701
133,0,0,0,0,156,257,700
134,0,0,0,0,156,265,704
