Sample,FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6
0,3,2,4,4,18,367,587
1,4,4,5,4,19,364,588
2,3,3,3,3,18,362,591
3,3,3,4,4,19,363,590
4,2,3,3,3,18,363,592
5,3,3,4,4,19,364,583
6,3,3,3,3,19,365,585
7,3,3,4,4,19,363,589
8,2,2,2,4,19,362,567
9,3,4,4,4,20,365,562
10,3,3,3,3,18,365,539
11,3,3,4,4,19,363,523
12,2,2,3,3,18,363,518
13,4,4,4,4,20,364,526
14,3,3,4,3,19,365,537
15,17,16,16,17,28,365,550
16,4,3,4,4,20,366,549
17,2,3,4,3,19,365,551
18,3,4,4,5,20,367,568
19,3,2,3,4,16,367,560
20,3,3,4,4,20,370,568
21,2,2,2,3,17,369,565
22,3,3,4,4,17,366,546
23,2,2,3,3,16,367,524
24,4,4,4,4,17,367,518
25,2,3,3,3,16,367,520
26,4,4,4,4,17,368,519
27,2,2,3,3,16,367,519
28,3,4,4,4,18,369,520
29,2,3,2,3,16,370,519
30,3,4,4,4,17,369,519
31,2,2,3,2,16,365,519
32,3,3,4,4,17,367,518
33,3,2,2,3,17,368,519
34,4,4,4,4,17,369,518
35,2,3,3,3,16,368,519
36,4,4,4,4,17,369,520
37,2,3,3,3,16,366,518
38,3,3,4,4,17,367,518
39,3,2,3,3,3,369,519
40,3,4,4,4,4,370,518
41,2,2,3,3,3,370,513
42,4,4,4,4,4,370,516
43,2,3,3,3,3,361,516
44,4,4,4,4,4,361,539
45,3,3,3,2,2,358,564
46,3,3,4,4,4,361,579
47,2,3,3,4,3,360,581
48,4,4,5,4,4,363,586
49,2,2,4,4,3,363,587
50,4,4,5,5,5,365,586
51,3,3,3,3,4,369,584
52,4,3,4,4,4,366,570
53,3,3,3,3,16,364,565
54,3,3,4,4,17,367,562
55,3,3,4,4,15,368,563
56,4,4,4,4,18,370,566
57,2,2,2,2,16,371,566
58,4,4,5,5,18,372,565
59,3,3,2,3,16,372,560
60,3,4,5,5,18,373,556
61,3,3,3,2,16,373,553
62,4,4,4,4,18,374,553
63,3,4,3,3,16,373,551
64,4,4,4,5,18,374,548
65,3,3,3,2,16,373,551
66,3,4,4,4,18,374,555
67,3,3,3,2,16,374,556
68,4,4,4,5,17,375,558
69,3,3,4,3,17,374,555
70,3,4,5,5,17,375,550
71,3,3,3,3,16,375,545
72,3,3,5,4,17,376,538
73,3,3,2,2,16,374,534
74,3,4,4,4,18,375,530
75,3,2,3,2,16,374,528
76,3,3,4,4,16,376,520
77,2,2,2,3,16,374,506
78,4,4,4,4,16,375,506
79,1,2,3,3,16,374,505
80,3,3,4,3,17,374,506
81,2,2,2,2,16,374,505
82,2,3,4,3,16,375,506
83,2,2,2,3,16,374,505
84,3,3,4,3,16,373,506
85,2,2,3,3,16,372,505
86,3,3,4,4,17,374,507
87,2,2,3,2,16,374,506
88,4,3,4,4,17,374,508
89,3,2,2,3,16,373,507
90,3,3,4,4,17,374,500
91,3,2,3,3,16,373,502
92,3,4,5,4,17,373,513
93,2,3,3,3,16,369,482
